                   IL.1RA       TGF.a       IP.10       TNF.a       IFN.a2       IFN.g        VEGF       MMP.2       MMP.9      Apo.AI    Apo.CIII Transthyretin      Comp.FH         A2M Haptoglobin         CRP         SAP         PCT    Ferritin         TPA  Fibrinogen         SAA
IL.1RA         0.99533611  0.29036276  0.28307520  0.29574371  0.573351486  0.40727597  0.21392721 -0.25183679 -0.29381436  0.03352029 -0.23975333   -0.30189657 -0.021110694 -0.16715044 -0.06535755  0.05366056 -0.10401732  0.36430588  0.23983832  0.31538775  0.26454358  0.31558921
TGF.a          0.29036276  0.97479215  0.48879589  0.44085785  0.333759145  0.27169542  0.33545721 -0.14195065  0.28933558 -0.23298503 -0.28605804   -0.44107144 -0.085249316 -0.11853489  0.05987322  0.42536055  0.02677933  0.32445870  0.36908589  0.34840718  0.32754008  0.44311906
IP.10          0.28307520  0.48879589  1.03191308  0.56091446  0.383636378  0.50440514  0.34627054 -0.13252094  0.05501148 -0.37172737 -0.32099826   -0.57220824 -0.101022340 -0.14336352  0.08395744  0.47343847  0.03515936  0.35669754  0.48242260  0.44162066  0.40938859  0.50269403
TNF.a          0.29574371  0.44085785  0.56091446  0.98725753  0.448376376  0.36748356  0.38483490 -0.03979475  0.03473887 -0.19322730 -0.35570887   -0.43690216 -0.142023835 -0.17227345 -0.02116497  0.22611426 -0.10196304  0.34210342  0.42047392  0.37093143  0.29714251  0.37649644
IFN.a2         0.57335149  0.33375915  0.38363638  0.44837638  1.003860944  0.54928076  0.33735710 -0.06620188 -0.14066783 -0.01658442 -0.25383926   -0.29819354 -0.008390261 -0.07046715  0.03521060  0.16399116  0.01353514  0.36189358  0.35681433  0.36137380  0.28045894  0.34504356
IFN.g          0.40727597  0.27169542  0.50440514  0.36748356  0.549280756  0.98334093  0.40563824 -0.02371748 -0.01407856 -0.16096216 -0.22492881   -0.34671168  0.095783409 -0.09088243  0.07775370  0.35325510  0.01982673  0.25592250  0.37053010  0.32690149  0.23177040  0.38155590
VEGF           0.21392721  0.33545721  0.34627054  0.38483490  0.337357104  0.40563824  0.99167624 -0.01542527  0.14736403 -0.13905072 -0.14791770   -0.27043287  0.095424883 -0.06317561  0.05748164  0.37760148  0.03833121  0.14631488  0.29446921  0.23661248  0.16674015  0.33940709
MMP.2         -0.25183679 -0.14195065 -0.13252094 -0.03979475 -0.066201883 -0.02371748 -0.01542527  1.00768556  0.33134500  0.09296234  0.17534935    0.21599138  0.112594753  0.17537509  0.09238397  0.05327526  0.08991008 -0.09856255 -0.09576874 -0.04642227 -0.07469655 -0.09248322
MMP.9         -0.29381436  0.28933558  0.05501148  0.03473887 -0.140667833 -0.01407856  0.14736403  0.33134500  0.98876193 -0.17178881 -0.00239343   -0.04350111  0.028621494 -0.11025880  0.01804273  0.29860687 -0.09040290 -0.17105330 -0.02768957 -0.07898980 -0.07137793  0.05428196
Apo.AI         0.03352029 -0.23298503 -0.37172737 -0.19322730 -0.016584418 -0.16096216 -0.13905072  0.09296234 -0.17178881  1.03750314  0.64876421    0.71207101  0.610950433  0.40850959  0.05293545 -0.19358202  0.28124481  0.03401735 -0.11222752  0.03175838 -0.03394239 -0.08558900
